"dateOpe","description","montantOpe","numCpt","codeTypeOpe"
2022-09-16 12:08:47,,-924,LI00000003,RET
2020-10-21 07:40:55,,-934,LI00000001,VIR
2020-10-21 07:40:55,,934,CO00000001,VIR
2020-09-25 18:48:25,,-300,CC00000001,DEP
2020-04-24 20:03:31,,-552,LI00000003,VIR
2020-04-24 20:03:31,,552,LI00000001,VIR
2021-09-18 02:08:09,,-363,LI00000003,RET
2022-01-16 10:56:57,,-991,CO00000002,VIR
2022-01-16 10:56:57,,991,LI00000006,VIR
2021-02-15 19:18:03,,-974,LI00000005,VIR
2021-02-15 19:18:03,,974,CO00000003,VIR
2022-09-27 18:39:23,,-184,LI00000003,RET
2022-04-13 20:08:47,,-737,CO00000005,RET
2020-11-12 05:23:46,,-714,CO00000008,VIR
2020-11-12 05:23:46,,714,CO00000010,VIR
2021-01-17 18:39:42,,-101,CO00000004,RET
2020-07-27 02:06:08,,-544,CO00000001,DEP
2021-05-29 09:05:24,,-139,CO00000003,RET
2020-06-21 19:00:12,,-743,CC00000002,RET
2020-08-18 22:31:26,,-732,CC00000002,VIR
2020-08-18 22:31:26,,732,LI00000005,VIR
2020-04-14 08:31:05,,-86,LI00000003,DEP
2021-03-30 05:27:56,,-379,LI00000006,DEP
2021-07-05 07:19:36,,-380,CO00000012,DEP
2022-05-23 06:56:20,,-420,LI00000004,VIR
2022-05-23 06:56:20,,420,CO00000006,VIR
2021-10-06 01:55:45,,-742,CO00000002,VIR
2021-10-06 01:55:45,,742,CO00000007,VIR
2021-03-13 05:16:10,,-13,CO00000012,VIR
2021-03-13 05:16:10,,13,CO00000002,VIR
2022-06-06 22:28:51,,-923,LI00000006,RET
2022-10-28 01:33:28,,-136,LI00000003,VIR
2022-10-28 01:33:28,,136,LI00000006,VIR
2020-10-18 16:54:57,,-450,CO00000009,RET
2022-09-19 04:32:31,,-408,CC00000002,RET
2020-11-12 02:32:07,,-899,CO00000003,VIR
2020-11-12 02:32:07,,899,CO00000005,VIR
2022-06-25 10:04:16,,-319,CO00000006,VIR
2022-06-25 10:04:16,,319,CO00000007,VIR
2021-06-01 01:11:12,,-987,CO00000009,RET
2020-03-16 15:07:24,,-389,CO00000004,RET
2022-06-24 18:59:19,,-781,LI00000003,RET
2022-12-04 17:07:48,,-534,CO00000009,RET
2021-09-24 00:15:14,,-231,CO00000003,DEP
2020-07-05 08:47:43,,-561,CO00000005,DEP
2020-07-21 23:00:27,,-258,CO00000006,RET
2021-09-19 10:48:53,,-442,CO00000012,RET
